symbol,direction,entry_date,entry_price,sl,target,exit_price,outcome,hit_t1,hold_bars,pnl_pct,R,or_range_pct,vol_mult,body_ratio
ICICIBANK,long,2026-04-13 10:30:00,1316.56,1297.2,1324.8,1324.14,T2,True,13,0.48,0.32,0.7,1.63,0.67
ICICIBANK,short,2026-04-17 11:55:00,1337.33,1347.9,1324.5,1346.77,EOD,False,39,-0.81,-1.02,0.58,2.79,0.79
ICICIBANK,short,2026-04-27 11:00:00,1315.44,1335.5,1307.6,1314.46,EOD,True,50,-0.03,-0.02,0.7,1.71,0.9
ICICIBANK,short,2026-04-28 09:50:00,1309.54,1317.6,1295.7,1296.35,T2,True,62,0.91,1.48,0.56,3.06,0.55
ICICIBANK,short,2026-05-05 10:05:00,1250.67,1265.8,1232.2,1252.93,EOD,False,61,-0.28,-0.23,0.89,1.7,0.74
ICICIBANK,short,2026-05-08 10:55:00,1264.07,1277.0,1247.0,1266.13,EOD,False,51,-0.26,-0.26,0.79,2.75,0.75
ICICIBANK,long,2026-05-11 11:05:00,1265.23,1253.9,1279.1,1264.97,EOD,True,49,-0.12,-0.14,0.67,2.81,0.7
ICICIBANK,short,2026-05-12 11:30:00,1241.88,1259.8,1224.1,1239.62,EOD,False,44,0.08,0.06,0.95,1.62,0.64
ICICIBANK,short,2026-05-14 09:55:00,1239.38,1248.7,1222.9,1249.32,SL,False,20,-0.9,-1.2,0.69,5.14,0.56
ICICIBANK,long,2026-05-18 11:30:00,1242.12,1234.1,1253.0,1252.37,T2,True,42,0.73,1.12,0.51,3.11,0.94
ICICIBANK,long,2026-05-20 11:05:00,1234.92,1223.9,1253.0,1236.68,EOD,False,49,0.04,0.05,0.79,2.72,0.54
ICICIBANK,long,2026-05-27 10:20:00,1292.45,1274.3,1311.8,1273.66,SL,False,40,-1.55,-1.11,0.97,2.17,0.88
SBIN,short,2026-03-05 10:40:00,1167.52,1182.9,1157.7,1158.28,T2,True,15,0.69,0.52,0.71,2.65,0.64
SBIN,short,2026-03-11 11:30:00,1099.45,1114.9,1091.2,1091.75,T2,True,43,0.6,0.43,0.71,2.21,0.88
SBIN,short,2026-03-13 09:45:00,1067.97,1080.8,1055.6,1056.13,T2,True,43,1.01,0.84,0.78,11.45,0.73
SBIN,short,2026-03-17 10:25:00,1052.37,1072.2,1020.0,1064.63,EOD,False,57,-1.26,-0.67,1.64,1.79,0.86
SBIN,short,2026-03-18 11:05:00,1061.67,1072.5,1050.9,1073.04,SL,False,29,-1.17,-1.15,0.67,2.21,0.65
SBIN,short,2026-03-23 09:55:00,1019.79,1039.3,988.0,1039.82,SL,False,46,-2.06,-1.08,1.66,1.74,0.79
SBIN,short,2026-04-02 10:00:00,981.81,1002.0,950.85,1002.5,SL,False,44,-2.21,-1.07,1.72,2.7,0.84
SBIN,long,2026-04-10 10:10:00,1061.43,1046.15,1085.9,1066.47,EOD,False,60,0.37,0.26,1.25,2.35,0.54
SBIN,short,2026-04-16 10:55:00,1073.76,1084.0,1056.4,1067.28,EOD,True,51,0.5,0.53,0.86,1.83,0.79
SBIN,short,2026-04-27 11:35:00,1104.65,1114.7,1091.45,1115.26,SL,False,23,-1.06,-1.17,0.7,1.77,0.6
SBIN,short,2026-04-30 11:40:00,1064.22,1076.5,1057.75,1068.53,EOD,True,42,-0.51,-0.44,0.58,4.18,0.95
SBIN,short,2026-05-05 11:05:00,1054.07,1068.3,1043.4,1060.23,EOD,True,49,-0.68,-0.51,0.78,2.36,0.64
SBIN,short,2026-05-12 10:45:00,969.91,980.9,955.4,973.99,EOD,True,53,-0.52,-0.46,0.87,1.58,0.88
SBIN,short,2026-05-14 10:45:00,965.82,978.9,961.2,979.39,SL,True,11,-1.51,-1.11,0.61,2.36,0.88
SBIN,short,2026-05-18 09:45:00,938.83,954.8,913.7,938.97,EOD,False,65,-0.11,-0.07,1.45,1.99,0.64
SBIN,long,2026-05-20 10:30:00,942.97,935.0,950.0,949.53,T2,True,7,0.6,0.7,0.53,2.25,0.81
SBIN,long,2026-05-27 10:15:00,975.79,968.7,984.9,968.22,SL,False,20,-0.88,-1.21,0.56,1.95,0.62
BHARTIARTL,short,2026-03-10 10:10:00,1850.77,1880.5,1811.5,1851.63,EOD,False,60,-0.15,-0.09,1.24,1.66,0.76
BHARTIARTL,long,2026-03-18 10:30:00,1856.43,1827.1,1899.7,1855.57,EOD,False,56,-0.15,-0.09,1.31,2.42,0.81
BHARTIARTL,long,2026-03-19 10:50:00,1853.93,1831.8,1893.6,1830.88,SL,False,47,-1.34,-1.13,1.12,1.54,0.62
BHARTIARTL,short,2026-03-24 10:25:00,1792.2,1826.3,1754.9,1801.1,EOD,False,57,-0.6,-0.31,1.32,1.64,0.7
BHARTIARTL,long,2026-03-25 11:10:00,1824.81,1810.1,1850.9,1833.38,EOD,True,48,0.37,0.46,0.75,1.95,0.95
BHARTIARTL,long,2026-03-27 09:45:00,1840.72,1823.2,1858.0,1822.29,SL,True,38,-1.1,-1.16,0.63,1.8,0.82
BHARTIARTL,short,2026-04-01 11:00:00,1799.3,1816.2,1779.0,1779.89,T2,True,34,0.98,1.04,0.69,1.6,0.69
BHARTIARTL,long,2026-04-07 10:00:00,1807.8,1774.0,1851.4,1828.09,EOD,True,62,1.02,0.55,1.44,1.98,0.78
BHARTIARTL,short,2026-04-16 09:45:00,1843.88,1864.3,1815.4,1839.22,EOD,True,65,0.15,0.14,0.88,2.79,0.81
BHARTIARTL,long,2026-04-17 11:50:00,1843.82,1830.7,1861.6,1845.48,EOD,False,40,-0.01,-0.01,0.56,5.32,0.75
BHARTIARTL,long,2026-04-21 10:30:00,1861.33,1834.4,1903.4,1853.97,EOD,False,56,-0.5,-0.34,1.24,2.18,0.85
BHARTIARTL,short,2026-04-22 11:45:00,1839.98,1857.9,1822.2,1827.81,EOD,True,41,0.56,0.58,0.64,2.04,0.52
BHARTIARTL,long,2026-04-28 09:50:00,1829.21,1812.8,1856.0,1838.58,EOD,True,64,0.41,0.46,0.79,1.52,0.85
BHARTIARTL,long,2026-05-06 10:25:00,1831.82,1816.1,1851.8,1831.18,EOD,True,57,-0.13,-0.16,0.65,1.58,0.66
BHARTIARTL,short,2026-05-07 11:40:00,1821.79,1843.9,1794.4,1825.31,EOD,False,42,-0.29,-0.24,0.9,1.71,0.97
BHARTIARTL,short,2026-05-11 10:15:00,1776.51,1817.6,1719.2,1757.28,EOD,False,59,0.98,0.42,1.84,1.59,0.8
BHARTIARTL,short,2026-05-19 09:45:00,1923.84,1941.8,1900.7,1913.46,EOD,True,65,0.44,0.47,0.71,3.01,0.87
BHARTIARTL,short,2026-05-21 10:10:00,1904.05,1914.6,1889.7,1890.65,T2,True,41,0.6,1.09,0.43,1.73,1.0
BHARTIARTL,short,2026-05-22 10:15:00,1877.36,1896.4,1856.8,1872.14,EOD,True,59,0.18,0.18,0.7,2.56,0.95
BHARTIARTL,long,2026-05-27 10:00:00,1859.03,1840.7,1881.8,1851.87,EOD,True,62,-0.48,-0.49,0.74,1.67,0.94
KOTAKBANK,long,2026-03-17 10:20:00,373.69,368.7,379.2,374.11,EOD,False,58,0.01,0.01,0.95,3.02,0.56
KOTAKBANK,short,2026-03-18 09:50:00,372.46,375.95,367.7,376.14,SL,False,50,-1.09,-1.16,0.73,1.92,0.62
KOTAKBANK,short,2026-03-23 10:50:00,358.12,364.45,349.0,356.48,EOD,False,52,0.36,0.2,1.42,4.01,0.65
KOTAKBANK,long,2026-03-24 09:55:00,365.78,361.45,372.55,365.87,EOD,True,63,-0.08,-0.06,1.01,3.44,0.79
KOTAKBANK,long,2026-03-25 11:00:00,377.09,370.05,387.45,369.86,SL,False,7,-2.02,-1.08,1.54,2.01,0.61
KOTAKBANK,short,2026-04-01 10:55:00,356.97,363.9,349.5,356.23,EOD,False,51,0.11,0.06,1.33,3.78,0.81
KOTAKBANK,long,2026-04-10 10:15:00,378.19,372.75,384.0,372.56,SL,False,50,-1.59,-1.1,1.0,3.14,0.86
KOTAKBANK,long,2026-04-17 11:50:00,383.54,376.75,393.1,383.31,EOD,False,40,-0.16,-0.09,1.43,1.61,0.55
KOTAKBANK,long,2026-04-21 10:05:00,382.14,378.6,386.55,382.16,EOD,False,61,-0.1,-0.1,0.7,3.86,0.67
KOTAKBANK,short,2026-04-23 10:35:00,369.67,375.85,359.05,370.13,EOD,False,55,-0.23,-0.14,1.5,1.61,0.54
KOTAKBANK,long,2026-04-27 10:05:00,380.24,373.85,392.3,376.56,EOD,False,61,-1.07,-0.64,1.63,1.52,0.85
KOTAKBANK,long,2026-04-30 10:35:00,381.04,376.6,385.75,382.36,EOD,True,55,0.25,0.21,0.8,2.48,0.86
KOTAKBANK,long,2026-05-05 10:30:00,371.74,368.75,376.7,371.16,EOD,True,56,-0.25,-0.32,0.72,1.79,0.74
KOTAKBANK,short,2026-05-06 11:00:00,371.56,374.7,367.5,367.68,T2,True,24,0.94,1.12,0.64,1.63,0.55
KOTAKBANK,long,2026-05-07 10:00:00,379.69,374.3,384.05,379.01,EOD,True,62,-0.28,-0.2,0.87,1.63,0.83
KOTAKBANK,short,2026-05-11 10:45:00,374.46,379.6,370.15,379.79,SL,False,4,-1.52,-1.11,0.83,1.85,0.82
KOTAKBANK,long,2026-05-13 11:10:00,381.69,377.75,384.5,377.56,SL,True,46,-1.18,-1.14,0.59,1.81,0.75
KOTAKBANK,long,2026-05-14 11:40:00,382.89,378.55,385.6,382.96,EOD,True,42,-0.08,-0.07,0.62,1.73,0.89
KOTAKBANK,long,2026-05-15 10:50:00,393.25,380.8,408.25,387.21,EOD,False,52,-1.64,-0.52,2.35,1.5,0.91
KOTAKBANK,long,2026-05-18 11:30:00,385.29,381.8,391.4,391.2,T2,True,23,1.43,1.58,0.84,2.09,0.69
KOTAKBANK,short,2026-05-19 11:10:00,387.11,391.75,379.3,381.59,EOD,True,48,1.32,1.1,1.06,2.56,1.0
KOTAKBANK,short,2026-05-21 11:10:00,381.91,385.85,375.2,381.24,EOD,True,48,0.08,0.07,0.92,1.57,0.89
KOTAKBANK,short,2026-05-26 09:45:00,389.66,393.0,385.05,388.59,EOD,True,65,0.17,0.2,0.68,1.61,1.0
KOTAKBANK,long,2026-05-27 10:10:00,389.79,387.0,393.45,388.11,EOD,False,60,-0.53,-0.74,0.55,1.59,0.85
BAJFINANCE,short,2026-03-11 10:35:00,924.29,941.0,909.8,910.25,T2,True,14,1.42,0.78,1.12,1.75,0.73
BAJFINANCE,short,2026-03-19 09:55:00,847.08,867.7,818.95,832.72,EOD,True,63,1.6,0.66,1.91,1.83,0.72
BAJFINANCE,short,2026-03-20 09:45:00,826.09,840.0,804.15,830.97,EOD,False,65,-0.69,-0.41,1.44,1.61,0.55
BAJFINANCE,short,2026-04-02 09:45:00,794.15,808.15,771.85,808.55,SL,False,16,-1.91,-1.09,1.52,1.69,0.74
BAJFINANCE,long,2026-04-21 09:45:00,928.71,919.8,944.1,919.34,SL,True,28,-1.11,-1.16,0.87,3.01,0.57
BAJFINANCE,short,2026-04-23 10:35:00,912.19,929.85,891.75,918.46,EOD,False,55,-0.79,-0.41,1.38,1.65,0.96
BAJFINANCE,long,2026-04-29 10:05:00,927.91,917.0,940.85,927.84,EOD,True,61,-0.11,-0.09,0.86,2.13,0.57
