symbol,direction,entry_date,entry_price,sl,target,exit_price,outcome,hold_bars,pnl_pct,R,grade,score,patterns,rsi,rs_vs_nifty,near_52wh,near_52wl
HDFCBANK,long,2025-04-16,942.37,905.07,1054.27,944.38,TIME_EXIT,15,0.11,0.05,S,90.0,breakout_5d_high,63.0,1.05,True,False
HDFCBANK,long,2025-04-21,962.48,924.35,1076.87,960.82,TIME_EXIT,15,-0.27,-0.04,S,90.0,breakout_5d_high,62.0,1.052,True,False
HDFCBANK,long,2025-04-23,989.94,950.71,1107.63,950.24,SL,2,-4.11,-1.01,S,90.0,breakout_5d_high,68.0,1.066,True,False
ICICIBANK,long,2024-01-24,1029.96,988.8,1153.44,988.31,SL,1,-4.14,-1.01,A,80.0,breakout_5d_high,67.0,1.04,False,False
ICICIBANK,long,2024-10-29,1302.0,1250.29,1457.13,1249.67,SL,9,-4.12,-1.01,S,90.0,breakout_5d_high,65.0,1.064,True,False
ICICIBANK,long,2024-10-30,1324.66,1271.39,1484.47,1270.76,SL,3,-4.17,-1.01,S,100.0,"bullish_marubozu,breakout_5d_high",70.0,1.104,True,False
ICICIBANK,long,2024-11-26,1311.26,1259.22,1467.38,1333.08,TIME_EXIT,15,1.56,0.42,S,90.0,breakout_5d_high,53.0,1.046,True,False
SBIN,long,2024-02-08,680.74,653.73,761.77,761.39,TARGET,5,11.75,2.99,A,85.0,"bullish_marubozu,breakout_5d_high",65.0,1.056,False,False
SBIN,long,2024-04-30,826.91,793.85,926.09,793.46,SL,4,-4.15,-1.01,A,85.0,breakout_5d_high,69.0,1.101,False,False
SBIN,long,2024-05-06,835.42,802.16,935.2,801.76,SL,1,-4.13,-1.01,B,75.0,bullish_pin_bar,68.0,1.084,False,False
SBIN,long,2024-11-06,849.62,815.65,951.53,815.25,SL,5,-4.15,-1.01,S,95.0,breakout_5d_high,63.0,1.123,True,False
SBIN,long,2025-04-21,803.4,771.5,899.1,771.12,SL,10,-4.12,-1.01,A,80.0,breakout_5d_high,58.0,1.041,False,False
SBIN,long,2025-04-22,821.56,788.89,919.57,788.5,SL,3,-4.12,-1.01,A,80.0,breakout_5d_high,65.0,1.069,False,False
SBIN,long,2025-07-17,838.82,811.67,920.27,811.26,SL,4,-3.39,-1.01,S,95.0,"bullish_marubozu,breakout_5d_high",72.0,1.034,True,False
SBIN,long,2025-08-12,825.36,792.42,924.18,809.0,TIME_EXIT,15,-2.08,-0.5,S,95.0,"bullish_marubozu,breakout_5d_high",56.0,1.039,True,False
SBIN,long,2026-01-29,1063.53,1022.03,1188.03,1021.52,SL,2,-4.05,-1.01,S,95.0,"bullish_pin_bar,breakout_5d_high",70.0,1.118,True,False
SBIN,long,2026-02-10,1151.58,1105.74,1289.1,1173.91,TIME_EXIT,15,1.84,0.49,S,95.0,breakout_5d_high,70.0,1.137,True,False
SBIN,long,2026-02-13,1189.59,1141.89,1332.69,1141.32,SL,14,-4.16,-1.01,S,95.0,breakout_5d_high,74.0,1.153,True,False
BHARTIARTL,long,2023-09-29,932.47,908.87,1003.27,938.83,TIME_EXIT,15,0.58,0.27,A,80.0,breakout_5d_high,71.0,1.069,False,False
BHARTIARTL,long,2024-03-18,1225.61,1176.81,1372.01,1228.79,TIME_EXIT,15,0.16,0.07,A,85.0,"bullish_marubozu,breakout_5d_high",72.0,1.083,False,False
BHARTIARTL,long,2024-04-04,1232.57,1183.54,1379.66,1182.94,SL,2,-4.13,-1.01,B,75.0,bullish_engulfing,55.0,1.081,False,False
